,Cause of Death,Year,Deaths,Population,death_rate_per_100k,Age-Adjusted Rate,Total_Firearms,firearm_manufacturing_rate_per_1k
5,Homicide Firearm,1986,13029,240133048,5.43,5.054626305,3040934,12.66353808993421
6,Homicide Firearm,1987,12657,242289046,5.22,4.868567942,3559663,14.691803276983476
7,Homicide Firearm,1988,13645,244499040,5.58,5.181696575,3963877,16.212239524539648
8,Homicide Firearm,1989,14464,246819195,5.86,5.48379991,4418393,17.901334618646658
9,Homicide Firearm,1990,16218,249464396,6.5,6.108584017,3959968,15.873880455469887
10,Homicide Firearm,1991,17746,252980942,7.01,6.637593796,3563106,14.084483881793753
11,Homicide Firearm,1992,17488,256514231,6.82,6.504230592000001,4175836,16.279159186298713
12,Homicide Firearm,1993,18253,259918595,7.02,6.753049667000001,5055637,19.45084767790469
13,Homicide Firearm,1994,17527,263125826,6.66,6.447423372,5173217,19.66062046680283
14,Homicide Firearm,1995,15551,266278403,5.84,5.686773682999999,4316342,16.20988390860974
15,Homicide Firearm,1996,14037,269394291,5.21,5.102872887,3854439,14.307797636290667
16,Homicide Firearm,1997,13252,272646932,4.86,4.770453117,3593504,13.180063951719069
17,Homicide Firearm,1998,11798,275854116,4.28,4.206765764,3713590,13.462151857106964
18,Homicide Firearm,1999,10828,279040238,3.88,3.822590452,4047747,14.505961681411698
19,Homicide Firearm,2000,10801,282171936,3.83,3.776704241,3793541,13.444076167801464
20,Homicide Firearm,2001,11348,284968955,3.98,3.93253428,2932655,10.291138555777067
21,Homicide Firearm,2002,11829,287625193,4.11,4.0680858419999995,3366895,11.70584177582803
22,Homicide Firearm,2003,11920,290107933,4.11,4.069227374,3308404,11.404045266145824
23,Homicide Firearm,2004,11624,292805298,3.97,3.938707823,3099025,10.583910267907788
24,Homicide Firearm,2005,12352,295516599,4.18,4.165910895,3241494,10.968906690754112
25,Homicide Firearm,2006,12791,298379912,4.29,4.273604276,3653324,12.243867140761138
26,Homicide Firearm,2007,12632,301231207,4.19,4.204103189,3922613,13.021934344272637
27,Homicide Firearm,2008,12179,304093966,4.01,4.029036079,4498944,14.794584908008336
28,Homicide Firearm,2009,11493,306771529,3.75,3.777863605,5555818,18.11060504249076
29,Homicide Firearm,2010,11078,308747508,3.59,3.621249793,5459240,17.68189170291214
30,Homicide Firearm,2011,11068,311663358,3.55,3.592311338,6541886,20.99023138934414
31,Homicide Firearm,2012,11622,313998379,3.7,3.7565329739999997,8578610,27.320555052929112
32,Homicide Firearm,2013,11208,316204908,3.54,3.602795636,10844792,34.296722554350744
33,Homicide Firearm,2014,11008,318563456,3.46,3.528151179,9050626,28.410747778929167
