,Country,rate_per_1000,Date_x,total_crime_rate_per_million,firearm_murder_rate_per_million,Date_y
0,Iceland,209.52,2002.0,209520.0,0.0,2002.0
1,Sweden,138.35,2002.0,138350.0,6.5,2002.0
3,United Kingdom,109.96,2002.0,109960.0,0.23600000000000002,2002.0
4,New Zealand,108.2,2002.0,108200.0,2.53,2002.0
7,Denmark,91.34,2002.0,91340.0,2.6,2002.0
9,Canada,80.25,2002.0,80250.0,4.59,2002.0
10,Germany,78.89,2002.0,78890.0,3.26,2002.0
12,Austria,68.35,2002.0,68350.0,3.09,2002.0
16,South Africa,58.94,2002.0,58940.0,700.98,2002.0
17,Luxembourg,58.38,2002.0,58380.0,0.0,2002.0
24,Estonia,42.54,2002.0,42540.0,15.46,2002.0
25,Switzerland,42.23,2002.0,42230.0,9.33,2002.0
26,Hungary,41.42,2002.0,41420.0,3.74,2002.0
27,United States,41.29,2002.0,41290.0,32.57,2002.0
28,Slovenia,40.96,2002.0,40960.0,19.55,2002.0
29,Uruguay,40.27,2002.0,40270.0,32.76,2002.0
31,Chile,37.55,2002.0,37550.0,0.569,2002.0
32,Poland,36.73,2002.0,36730.0,2.9,2002.0
33,Czech Republic,36.49,2002.0,36490.0,17.74,2002.0
37,Zimbabwe,27.78,2002.0,27780.0,47.31,2002.0
38,Lithuania,26.71,2002.0,26710.0,4.61,2002.0
40,Croatia,22.94,2002.0,22940.0,17.12,2002.0
41,Japan,22.39,2002.0,22390.0,0.369,2002.0
42,Spain,22.35,2002.0,22350.0,2.35,2002.0
43,Latvia,21.09,2002.0,21090.0,11.97,2002.0
44,Portugal,21.06,2002.0,21060.0,8.68,2002.0
45,Ireland,20.67,2002.0,20670.0,3.05,2002.0
48,Slovakia,19.96,2002.0,19960.0,438.0,2002.0
49,Bulgaria,18.93,2002.0,18930.0,8.01,2002.0
52,Mexico,14.21,2002.0,14210.0,24.42,2002.0
53,Belarus,13.47,2002.0,13470.0,3.85,2002.0
55,Cyprus,13.29,2002.0,13290.0,4.08,2002.0
57,Ukraine,11.48,2002.0,11480.0,3.59,2002.0
58,Moldova,10.02,2002.0,10020.0,5.52,2002.0
59,Costa Rica,9.84,2002.0,9840.0,32.0,2002.0
60,Morocco,9.68,2002.0,9680.0,0.0341,2002.0
61,Republic of Macedonia,9.55,2002.0,9550.0,12.53,2002.0
66,Thailand,8.86,2002.0,8860.0,313.99,2002.0
68,El Salvador,7.45,2002.0,7450.0,239.83,2002.0
71,Peru,6.05,2002.0,6050.0,16.54,2002.0
73,Colombia,5.2,2002.0,5200.0,531.29,2002.0
74,Oman,5.1,2002.0,5100.0,0.0,2002.0
78,Bolivia,3.52,2002.0,3520.0,5.88,2002.0
81,Azerbaijan,1.9,2002.0,1900.0,14.68,2002.0
83,Albania,1.62,2002.0,1620.0,41.37,2002.0
85,Philippines,1.06,2002.0,1060.0,95.21,2002.0
86,Burma,0.37200000000000005,2002.0,372.00000000000006,0.5479999999999999,2002.0
